epoch,train_loss,test_loss,accuracy,dp1,dp2,dp3,dp4
1,27.949057990582784,2.303844165802002,0.1028,0.2254022,0.008726732,0.012369534,0.38204348
2,2.641665625190735,2.303995227813721,0.1028,0.30985102,0.0018802565,0.002796502,0.5084086
3,2.255135363515218,2.3040350437164308,0.1028,0.16982824,0.0019098815,0.0017365878,0.45302317
4,793.292079041036,2.3039886474609377,0.1028,0.009205773,7.891536e-05,0.00012393856,0.9993413
5,9850.518717676798,10.693563318252563,0.1029,0.15137511,8.208775e-06,1.38026435e-05,0.99996674
6,26.119621114095054,14101.79509525299,0.1032,0.1832402,6.8663753e-06,1.1607474e-05,0.9999739
7,2261701.864630683,2.3040449619293213,0.1028,0.8955497,2.5811488e-07,4.3428116e-07,0.9997024
8,25.29794112955729,2.3039336681365965,0.1028,0.8956593,2.5811488e-07,4.3428116e-07,0.9997024
9,12.377770307413737,16464.72506635189,0.1032,0.8956383,2.5811488e-07,4.3428116e-07,0.9997024
10,279359.68513550825,2.304049181938171,0.1028,0.9266781,2.4269465e-07,4.0835124e-07,0.9987632
11,70.83187614746093,2155.6053755760195,0.103,0.92644703,2.4269002e-07,4.0834348e-07,0.9987625
12,458.21257539672854,2.304053044319153,0.1028,0.9354529,2.4262638e-07,4.0823636e-07,0.9987539
13,76.75573151652019,2.304114747047424,0.1028,0.9342535,2.426185e-07,4.0822312e-07,0.9987533
14,139544.91196705322,5597.698291015625,0.1032,0.3723099,1.8805355e-07,3.1645862e-07,0.97875595
15,47.61708985188802,2.304107999801636,0.1028,0.37189937,1.8804332e-07,3.164414e-07,0.97881657
